"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"44.185229_-73.950155_20220719",44.185229,-73.950155,"a","f",0,0,0,0,0,0,0,"","sun","clouds","b","a","a","b","b","a","a","b","a","a","a","a","a","07/19/2022",""
"42.99855067180702_-75.00682751616458_20220822",42.99855067,-75.00682752,"c","c",0,5,0,0,5,0,0,"periphyton","clouds","clouds","b","a","a","b","b","b","a","a","a","a","a","a","a","08/22/2022",""
"43.47495_-76.104483_20220713",43.47495,-76.104483,"b","b",0,0,0,0,0,0,5,"discharges/pipes","sun","rain","a","b","a","b","a","b","a","b","b","b","b","a","a","07/13/2022",""
"41.8733_-75.017175_20220909",41.8733,-75.017175,"f","f",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","b","a","a","b","a","b","a","a","b","09/09/2022",""
"41.8745_-75.06955_20220909",41.8745,-75.06955,"f","f",0,0,0,0,0,0,0,"","sun","sun","a","a","b","a","a","a","a","b","a","a","a","a","b","09/09/2022",""
"40.95051_-73.79818_20220918",40.95051,-73.79818,"e","e",0,0,0,5,0,5,5,"discharges/pipes","sun","sun","a","b","b","c","c","b","b","c","c","b","b","b","b","09/18/2022",""
"42.39217_-76.59734_20220926",42.39217,-76.59734,"","",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","09/26/2022",""
"42.614403_-78.0116643_20220903",42.614403,-78.0116643,"a","f",0,5,10,0,5,0,0,"other(list)","sun","sun","a","a","b","b","a","a","c","b","b","a","a","b","b","09/03/2022",""
"42.40614_-76.59763_20220915",42.40614,-76.59763,"f","f",0,0,0,5,0,0,0,"","sun","sun","a","a","b","b","a","a","a","a","a","a","a","a","a","09/15/2022",""
"41.14556_-73.994167_20220826",41.14556,-73.994167,"f","b",0,0,5,0,0,5,0,"trash,other(list)","sun","sun","b","a","a","b","b","a","a","b","c","b","c","b","a","08/26/2022",""
