"EVENT_ID","LOCATION","RIVMILE","BASIN","DATE","COLLECT","REPLICATE","PROJECT","FINAL_SCORE","RICHNESS","RICH_SCORE","HBI","HBI_SCORE","SHANNON","SHANNON_SCORE","PMA","PMA_SCORE","EPT_RICH","EPT_SCORE","NBI_P","NBI_P_SCORE","NCO_RICH","NCO_RICH_SCORE","PCT_DOM3","PCT_DOM3_SCORE"
"0.1_ADKS_01_9_8/24/2004_1","ADKS_01","0.1",9,"8/24/2004",1,1,"ADKS ACID SURVEY",5.05,20,5.59,6.01,5.61,NA,NA,42,3.79,5,4.72,5.78,5.55,NA,NA,NA,NA
"0.1_ADKS_16_8_7/30/2014_1","ADKS_16","0.1",8,"7/30/2014",1,1,"ADKS ACID SURVEY",7.4,21,5.88,3.65,8.35,NA,NA,79,8.94,9,6.82,5.2,7,NA,NA,NA,NA
"0.1_ADKS_16_8_8/24/2004_1","ADKS_16","0.1",8,"8/24/2004",1,1,"ADKS ACID SURVEY",7,28,8.06,4.52,7.48,NA,NA,70,8.08,10,7.27,6.35,4.13,NA,NA,NA,NA
"0.1_ADKS_23_8_8/1/2014_1","ADKS_23","0.1",8,"8/1/2014",1,1,"ADKS ACID SURVEY",7.56,22,6.18,3.2,8.8,NA,NA,63,7.26,11,8,4.92,7.58,NA,NA,NA,NA
"0.1_ADKS_23_8_8/10/2004_1","ADKS_23","0.1",8,"8/10/2004",1,1,"ADKS ACID SURVEY",7.27,31,8.89,3.67,8.33,NA,NA,61,6.94,11,8,6.33,4.17,NA,NA,NA,NA
"0.1_ADKS_27_8_8/17/2004_1","ADKS_27","0.1",8,"8/17/2004",1,1,"ADKS ACID SURVEY",7.14,28,8.06,3.63,8.37,NA,NA,64,7.42,12,8.5,6.67,3.33,NA,NA,NA,NA
"0.1_ADKS_30_8_8/11/2004_1","ADKS_30","0.1",8,"8/11/2004",1,1,"ADKS ACID SURVEY",2.33,9,1.92,7.46,3.8,NA,NA,25,0.86,0,0,5.97,5.08,NA,NA,NA,NA
"0.1_ADKS_31_8_8/10/2014_1","ADKS_31","0.1",8,"8/10/2014",1,1,"ADKS ACID SURVEY",5.31,18,4.85,3.46,8.54,NA,NA,45,4.27,3,3.61,5.89,5.28,NA,NA,NA,NA
"0.1_ADKS_31_8_8/11/2004_1","ADKS_31","0.1",8,"8/11/2004",1,1,"ADKS ACID SURVEY",4.33,16,4.26,4.26,7.74,NA,NA,41,3.63,3,3.61,7.04,2.4,NA,NA,NA,NA
"0.1_ADKS_32_8_8/10/2014_1","ADKS_32","0.1",8,"8/10/2014",1,1,"ADKS ACID SURVEY",4.14,12,3.09,4.29,7.71,NA,NA,43,3.95,3,3.61,7.07,2.32,NA,NA,NA,NA
