ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,CreationDate,Creator,EditDate,Editor,How many of these are in the sample?
2882,8268c40b-496a-4e2f-8714-18585cbcb5e5,Mollusca: Gastropoda,Lymnaeidae,(Mollusca: Gastropoda) Lymnaeidae,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,2
2884,87c0a569-1cf3-43c8-8755-8898bdab32ec,Diptera,Chironomidae,(Diptera) Chironomidae,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,2
2885,b7921fba-5674-4eb8-8948-b751d85c898e,Crustacea: Amphipoda,Gammaridea,(Crustacea: Amphipoda) Gammaridea,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,1
2883,b8953a06-fa68-423c-8c08-341d7f640992,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,1
2880,bc2581d1-0d7f-49f2-8eb0-459f1128b8c5,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,1
2881,cd19e145-3c3d-47c0-8b5f-fd54dce91977,Wormlike,"Tricladida, Planaridae","(Wormlike) Tricladida, Planaridae",,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,1
2886,e14696e0-6839-48a2-8ef5-afcfce63db91,Diptera,Tipulidae,(Diptera) Tipulidae,,,f0ef66b7-8ed8-42c5-8cb0-c8c5481ff7b4,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,12/3/2024 16:11,rhett.parsons@dec.ny.gov_nysdec,1
2892,1dace970-3ab2-4408-80a5-78cf6dcae02f,Ephemeroptera,Ephemerellidae,(Ephemeroptera) Ephemerellidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,
2896,4b415533-cf2d-4985-8e4a-4554c8ae8453,Plecoptera,Capniidae,(Plecoptera) Capniidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2889,5fa14546-6ed2-4ac1-8a75-bb96b4995840,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2893,64176692-828f-4516-8535-f5e7413a2dad,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2891,69218ee0-9d72-4de2-86d6-3f45230ffdcb,Diptera,Athericidae,(Diptera) Athericidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2888,96dc2bfd-ba5f-45ad-8d1e-c30351c59e8d,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2890,ce1b0301-4cbe-4e6c-8c74-613d051202ab,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2894,d8245318-c6dd-4cbf-8698-dc30e2d2b245,Diptera: Chironomidae,Chironomus,(Diptera: Chironomidae) Chironomus,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2887,e02f6d15-a162-4d17-8243-49a6fa743192,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2895,e74fde06-745c-48e3-8471-680e46e1ab4d,Trichoptera,Glossosomatidae,(Trichoptera) Glossosomatidae,,,c947bcc7-24b1-4bbf-8065-d09bcac2c89c,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 16:32,makenzie.garrett@dec.ny.gov_nysdec,1
2899,278f7ebb-a361-4226-82c6-c7ac01d881e0,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,6c9ef254-cea9-480c-8b51-9292bca1e932,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,1
2900,30c74ac7-0936-4a70-8a76-e6870ffb98f9,Diptera,Limoniidae,(Diptera) Limoniidae,,,6c9ef254-cea9-480c-8b51-9292bca1e932,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,5
2897,54fd2806-3d93-4b04-8dc3-43ba09c7f293,Plecoptera,Pteronarcidae,(Plecoptera) Pteronarcidae,,,6c9ef254-cea9-480c-8b51-9292bca1e932,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,5
2901,7e4aae17-379a-468c-808c-7b329c19eef6,Diptera,Athericidae,(Diptera) Athericidae,,,6c9ef254-cea9-480c-8b51-9292bca1e932,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,1
2898,aa7135bc-129f-4362-8df2-c2aa97be4ad1,Ephemeroptera,Baetiscidae,(Ephemeroptera) Baetiscidae,,,6c9ef254-cea9-480c-8b51-9292bca1e932,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,12/3/2024 16:41,lauren.roberts@dec.ny.gov_nysdec,17
2907,28f1d663-f770-4760-804a-0f9f2d4fe794,Ephemeroptera,Baetidae,(Ephemeroptera) Baetidae,,,e79a091f-4d9d-4bc9-80b3-7a754b58f72c,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,1
2904,57f31f49-e2d8-42b0-8cf2-9333d6fd7231,Diptera,Chironomidae,(Diptera) Chironomidae,,,e79a091f-4d9d-4bc9-80b3-7a754b58f72c,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,1
2908,96788756-617f-4fb4-8163-03ec9ef0abfd,Mollusca: Gastropoda,Physidae,(Mollusca: Gastropoda) Physidae,,,e79a091f-4d9d-4bc9-80b3-7a754b58f72c,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,1
2905,a949aea6-db38-4949-8282-aa1af4d7adbb,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,e79a091f-4d9d-4bc9-80b3-7a754b58f72c,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,12/3/2024 17:10,makenzie.garrett@dec.ny.gov_nysdec,1
