"","WMFDH_SAMPLE_ID","WMFDH_MACRO_FAMILY"
"1","44.34728_-74.3144_20240912","(DIPTERA) TABANIDAE"
"2","44.34728_-74.3144_20240912","(ODONATA: ANISOPTERA) CORDULEGASTRIDAE"
"3","44.34728_-74.3144_20240912","(CRUSTACEA: ISOPODA) ASELLOTA"
"4","44.34728_-74.3144_20240912","(DIPTERA) TIPULIDAE"
"5","43.02120495510088_-73.3711509361763_20240708","(MEGALOPTERA) CORYDALIDAE"
"6","43.02120495510088_-73.3711509361763_20240708","(PLECOPTERA) PERLIDAE"
"7","43.02120495510088_-73.3711509361763_20240708","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"8","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) PHILOPOTAMIDAE"
"9","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) GLOSSOSOMATIDAE"
"10","43.02120495510088_-73.3711509361763_20240708","(PLECOPTERA) CAPNIIDAE"
"11","43.02120495510088_-73.3711509361763_20240708","(DIPTERA) ATHERICIDAE"
"12","43.02120495510088_-73.3711509361763_20240708","(EPHEMEROPTERA) EPHEMERELLIDAE"
"13","43.02120495510088_-73.3711509361763_20240708","(COLEOPTERA) PSEPHENIDAE"
"14","43.02120495510088_-73.3711509361763_20240708","(TRICHOPTERA) HYDROPSYCHIDAE"
"15","43.30597726166349_-73.58060653124821_20240715","(TRICHOPTERA) LEPTOCERIDAE"
"16","43.30597726166349_-73.58060653124821_20240715","(MOLLUSCA: GASTROPODA) PHYSIDAE"
"17","43.30597726166349_-73.58060653124821_20240715","(WORMLIKE) OLIGOCHAETA"
"18","43.30597726166349_-73.58060653124821_20240715","(TRICHOPTERA) PHILOPOTAMIDAE"
"19","43.30597726166349_-73.58060653124821_20240715","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"20","43.30597726166349_-73.58060653124821_20240715","(EPHEMEROPTERA) BAETIDAE"
"21","43.30597726166349_-73.58060653124821_20240715","(DIPTERA) CHIRONOMIDAE"
"22","43.30597726166349_-73.58060653124821_20240715","(WORMLIKE) TRICLADIDA, PLANARIDAE"
"23","43.162068_-73.505096_20240702","(DIPTERA) TIPULIDAE"
"24","43.162068_-73.505096_20240702","(WORMLIKE) OLIGOCHAETA"
"25","43.162068_-73.505096_20240702","(TRICHOPTERA) HYDROPSYCHIDAE"
"26","43.162068_-73.505096_20240702","(TRICHOPTERA) RHYACOPHILIDAE"
"27","43.162068_-73.505096_20240702","(EPHEMEROPTERA) LEPTOPHLEBIIDAE"
"28","42.99248133378242_-73.48019699388313_20240708","(DIPTERA) TIPULIDAE"
"29","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) HYDROPSYCHIDAE"
"30","42.99248133378242_-73.48019699388313_20240708","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"31","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) PHILOPOTAMIDAE"
"32","42.99248133378242_-73.48019699388313_20240708","(EPHEMEROPTERA) BAETIDAE"
"33","42.99248133378242_-73.48019699388313_20240708","(TRICHOPTERA) RHYACOPHILIDAE"
"34","42.99248133378242_-73.48019699388313_20240708","(PLECOPTERA) PERLIDAE"
"35","44.34728_-74.3144_20240912","(CRUSTACEA: ISOPODA) ASELLOTA"
"36","44.34728_-74.3144_20240912","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"37","44.34776_-74.27807_20240905","(TRICHOPTERA) HYDROPSYCHIDAE"
"38","42.059444_-76.343056_20240707","(COLEOPTERA) GYRINIDAE"
"39","42.059444_-76.343056_20240707","(DIPTERA) LIMONIIDAE"
"40","42.059444_-76.343056_20240707","(DIPTERA) ATHERICIDAE"
