"WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","Date","WSEI_PRIMARY_CONTACT","WSEI_SECONDARY_CONTACT","WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_PRIMARY_VARIABLE","WSEI_CURRENT_WEATHER","WSEI_PREV_WEATHER","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","CreationDate","EditDate","WSEI_COLLECTION_DATE","WSEI_USER_NOTES"
"44.34728_-74.3144_20240912",44.34728,-74.3144,"9/12/2024 16:00","b","b",0,0,0,5,0,0,0,"","sun","sun","a","a","a","b","a","a","a","a","a","a","a","a","a","9/14/2024 14:45","9/14/2024 14:45","09/12/2024",""
"43.02120495510088_-73.3711509361763_20240708",43.021187,-73.371277,"7/8/2024 16:00","a","a",0,0,0,0,0,0,0,"","sun","sun","b","b","b","b","b","b","a","b","a","a","a","b","b","7/8/2024 17:35","7/8/2024 17:35","07/08/2024",""
"43.30597726166349_-73.58060653124821_20240715",43.305941,-73.58086,"7/15/2024 16:00","b ","b",0,0,4,2,0,4,0,"trash","sun","sun","b","c","c","c","a","c","c","a","a","b","b","c","c","7/15/2024 16:22","7/15/2024 16:22","07/15/2024",""
"43.162068_-73.505096_20240702",43.162068,-73.505096,"7/2/2024 16:00","f","f",0,0,0,0,0,2,5,"","sun","sun","a","a","b","a","b","a","a","a","a","b","b","c","c","7/2/2024 14:28","7/2/2024 14:28","07/02/2024",""
"42.99248133378242_-73.48019699388313_20240708",42.992439,-73.480083,"7/8/2024 16:00","f","f",0,0,5,10,0,0,5,"Roadside/culvert","sun","sun","b","a","a","b","a","b","b","a","b","a","a","c","c","7/8/2024 17:28","7/8/2024 17:28","07/08/2024",""
"44.34728_-74.3144_20240912",44.34728,-74.3144,"9/12/2024 16:00","b","b",0,0,0,0,0,0,0,"water_clarity,phytoplankton","sun","sun","a","b","b","b","a","a","b","a","a","a","a","a","a","9/14/2024 14:36","9/14/2024 14:36","09/12/2024",""
"44.34776_-74.27807_20240905",44.34776,-74.27807,"9/5/2024 16:00","a","b",0,0,0,0,0,0,0,"","sun","sun","a","a","a","a","a","a","a","a","a","a","a","a","a","9/6/2024 16:29","9/6/2024 16:29","09/05/2024",""
"42.059444_-76.343056_20240707",42.059444,-76.343056,"7/7/2024 16:00","a","f",0,NA,NA,NA,NA,NA,NA,"","sun","sun","","a","a","a","a","a","a","a","a","a","a","b","b","7/9/2024 0:36","7/9/2024 0:36","07/07/2024",""
"42.615252_-76.875636_20240811",42.615252,-76.875636,"8/11/2024 16:00","a","a",0,0,5,5,0,0,0,"","clouds","clouds","b","b","b","a","c","a","b","a","a","a","a","a","c","8/12/2024 15:52","8/12/2024 15:52","08/11/2024",""
"42.8689_-76.9944_20240817",42.8689,-76.9944,"8/17/2024 16:00","f","f",0,5,5,5,0,0,10,"discharges/pipes","clouds","rain","a","a","a","b","c","b","b","b","b","b","b","b","b","8/22/2024 16:12","8/22/2024 16:12","08/17/2024",""
