"WSEI_WATER_CLARITY","WSEI_SUSPENDED_PHYTOPLANKTON","WSEI_PERIPHYTON","WSEI_MACROPHYTE","WSEI_ODOR","WSEI_TRASH","WSEI_DISCHARGE_PIPE","WSEI_EPIFAUNAL_COVER","WSEI_EMBEDDEDNESPOOLING","WSEI_VELOCITY_DEPTH_REGIME","WSEI_SEDIMENT_DEPOSITION","WSEI_FLOW_STATUS","WSEI_CHANNEL_ALTERATION","WSEI_RIFFLE_BEND_FREQUENCY","WSEI_LEFT_BANK_STABILITY","WSEI_RIGHT_BANK_STABILITY","WSEI_LEFT_BANK_VEG","WSEI_RIGHT_BANK_VEG","WSEI_LEFT_BANK_VEG_ZONE","WSEI_RIGHT_BANK_VEG_ZONE","WSEI_SAMPLE_ID","WSEI_LATITUDE","WSEI_LONGITUDE","WSEI_COLLECTION_DATE"
0,0,0,0,0,0,0,"a","a","a","a","b","a","a","a","b","a","a","a","b","42.80749186590226_-76.70036315925239_20210727",42.80749187,-76.70036316,"NULL"
NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","42.80756_-76.70071_20210727",42.80756,-76.70071,"NULL"
0,5,5,0,0,0,0,"b","b","b","b","b","b","b","b","c","b","c","b","b","42.139900000000004_-75.8938_20210830",42.1399,-75.8938,"NULL"
0,0,0,0,0,0,5,"b","a","a","b","b","b","b","b","b","a","a","a","a","43.436538917613134_-75.89179234746005_20210711",43.43653892,-75.89179235,"NULL"
0,0,0,0,0,0,5,"a","a","a","b","a","b","a","b","a","a","a","a","b","42.19683_-74.09661_20210821",42.19683,-74.09661,"NULL"
0,0,0,5,0,5,5,"b","b","b","b","b","b","b","b","b","b","b","b","b","42.82753884090288_-73.88129233547046_20210910",42.493,-73.5253,"NULL"
0,0,0,10,0,0,0,"b","a","b","b","b","b","a","b","b","b","b","b","a","42.4044_-76.5127_20210913",42.4044,-76.5127,"NULL"
0,0,5,5,0,0,0,"b","a","a","b","b","c","a","c","c","b","b","c","c","43.01701_-76.21619_20210926",43.01701,-76.21619,"NULL"
0,0,0,0,0,5,0,"a","a","a","a","a","a","a","a","a","a","a","b","a","42.19243_-74.09073_20210926",42.19243,-74.09073,"NULL"
0,0,0,0,5,5,0,"b","a","b","b","b","a","a","a","a","a","a","a","a","41.1978899999993_-74.03895999999875_20210720",41.19789,-74.03896,"NULL"
10,0,0,0,0,0,0,"a","b","c","","a","a","a","a","a","a","a","a","a","41.16869_-73.99977_20210809",41.16869,-73.99977,"NULL"
0,0,0,0,0,0,0,"b","a","a","a","a","b","a","a","a","a","a","b","b","42.57864_-78.253237_20210728",42.57864,-78.253237,"NULL"
0,0,5,0,0,0,0,"b","a","a","a","a","b","a","a","a","a","a","b","b","42.5595_-78.158155_20210816",42.5595,-78.158155,"NULL"
0,0,0,0,0,5,5,"b","a","a","a","a","b","a","b","b","b","b","b","a","42.84864_-78.04354_20210730",42.84864,-78.04354,"NULL"
0,0,0,5,0,0,0,"a","a","b","a","a","a","a","a","b","a","b","a","b","42.56312_-78.343175_20210830",42.56312,-78.343175,"NULL"
0,0,0,0,0,5,10,"c","b","c","b","a","c","b","b","b","c","c","c","c","42.74066_-78.136131_20210827",42.74066,-78.136131,"NULL"
NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","43.4365_-75.89164_20210711",43.4365,-75.89164,"NULL"
0,0,5,5,0,0,5,"a","a","b","b","b","b","a","a","a","a","a","a","b","42.81588_-78.167549_20210730",42.81588,-78.167549,"NULL"
0,0,0,0,0,5,10,"c","a","b","a","a","c","b","b","b","c","c","c","c","42.53474_-78.422557_20210908",42.53474,-78.422557,"NULL"
0,0,5,5,0,0,0,"a","a","b","a","a","b","a","a","a","a","a","b","b","42.60986_-78.257826_20210817",42.60986,-78.257826,"NULL"
5,0,0,5,5,0,0,"a","a","a","a","a","b","a","a","a","a","a","b","a","42.53515_-78.096638_20210824",42.53515,-78.096638,"NULL"
0,0,0,0,0,5,0,"b","a","b","a","a","c","a","b","b","b","b","c","c","42.53522_-78.421988_20210908",42.53522,-78.421988,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","a","a","b","a","a","a","a","b","42.55988_-78.377997_20210901",42.55988,-78.377997,"NULL"
0,0,0,0,0,NA,0,"b","a","b","a","a","c","a","b","a","b","a","c","b","42.5716_-78.171552_20210825",42.5716,-78.171552,"NULL"
0,0,0,5,0,0,0,"a","a","a","b","a","a","b","a","a","b","a","b","b","42.6392_-78.138339_20210824",42.6392,-78.138339,"NULL"
0,0,0,0,0,0,5,"a","a","a","b","b","c","a","c","c","b","c","a","c","42.5598_-73.5014273_20210814",42.5598,-73.5014273,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","b","b","a","a","a","a","a","a","a","43.10274_-73.2997915_20210717",43.10274,-73.2997915,"NULL"
0,0,5,0,0,0,0,"b","a","a","b","a","b","b","c","a","b","a","b","b","42.69821_-73.5778709_20210807",42.69821,-73.5778709,"NULL"
0,0,5,0,0,5,5,"b","a","b","a","a","c","a","a","b","b","b","c","c","41.21234_-73.97038_20210920",41.21234,-73.97038,"NULL"
0,0,5,0,0,0,0,"c","a","a","b","b","a","a","a","a","b","b","a","a","41.1333_-74.008623_20210801",41.1333,-74.008623,"NULL"
0,0,0,0,0,0,0,"a","a","a","b","","a","a","a","a","a","a","b","b","41.13507_-74.163328_20210802",41.13507,-74.163328,"NULL"
0,0,0,0,0,0,0,"a","a","a","b","a","a","a","a","a","b","a","a","b","41.14591_-74.1144_20210719",41.14591,-74.1144,"NULL"
0,0,5,0,0,0,0,"a","a","a","b","b","a","a","a","a","a","a","a","a","41.146_-73.994_20210831",41.146,-73.994,"NULL"
0,0,0,10,0,0,0,"a","a","b","a","b","b","b","b","a","b","b","a","b","42.5203_-76.9789_20210830",42.5203,-76.9789,"NULL"
0,0,0,0,0,0,0,"a","a","b","a","a","a","a","a","b","a","a","a","a","43.50932_-73.6227278_20210825",43.50932,-73.6227278,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","b","a","b","b","c","b","c","b","43.74664_-73.499771_20210810",43.74664,-73.499771,"NULL"
0,0,0,0,0,0,0,"a","a","a","b","a","a","a","a","a","b","a","a","a","43.55211_-73.597481_20210729",43.55211,-73.597481,"NULL"
0,0,0,0,0,0,0,"a","b","b","b","a","a","b","","","a","a","a","a","43.4091_-73.700574_20210722",43.4091,-73.700574,"NULL"
0,0,0,0,0,0,0,"a","b","b","a","b","b","a","b","b","b","b","a","a","43.40184_-73.73477_20210713",43.40184,-73.73477,"NULL"
0,0,0,0,0,0,0,"b","a","b","b","a","b","b","a","b","a","b","c","c","43.41795_-73.71143_20210803",43.41795,-73.71143,"NULL"
0,0,0,0,0,0,0,"b","a","b","a","a","a","b","a","a","a","a","a","a","43.41599_-73.71744633_20210831",43.41599,-73.71744633,"NULL"
0,0,0,0,0,0,0,"a","b","a","a","b","b","b","b","b","b","b","a","a","43.63641_-73.507418_20210922",43.63641,-73.507418,"NULL"
0,0,0,0,0,0,0,"b","b","a","a","b","b","a","a","b","a","b","c","c","43.63991_73.506861_20210922",43.63991,73.506861,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","b","a","a","c","a","b","a","c","43.74722_-73.50028_20210828",43.74722,-73.50028,"NULL"
0,0,0,0,0,0,0,"b","a","a","a","b","b","a","a","a","b","b","c","c","43.72966_-73.501025_20210810",43.72966,-73.501025,"NULL"
0,0,0,0,0,0,0,"a","b","b","b","b","a","a","b","a","a","a","a","b","43.61559_-73.62215_20210810",43.61559,-73.62215,"NULL"
0,0,0,0,0,0,0,"a","a","a","b","a","a","a","b","b","a","a","a","b","43.43616_-73.718058_20210729",43.43616,-73.718058,"NULL"
0,0,0,0,0,0,0,"a","b","b","a","b","b","a","a","b","b","b","a","a","43.3995_-73.728054_20210713",43.3995,-73.728054,"NULL"
0,0,5,0,0,5,0,"a","b","a","b","a","b","a","b","a","a","a","a","a","43.43861_-73.726944_20210701",43.43861,-73.726944,"NULL"
0,0,0,0,0,0,5,"a","a","a","a","a","a","a","a","a","c","c","c","c","43.56344_-73.653237_20210709",43.56344,-73.653237,"NULL"
0,0,5,0,0,0,0,"a","b","b","b","c","b","","","","","","","","43.57533_-73.80309_20210701",43.57533,-73.80309,"NULL"
0,0,0,0,0,0,0,"a","a","a","b","b","b","a","a","a","a","","b","a","43.48974_-73.682396_20210701",43.48974,-73.682396,"NULL"
0,0,0,0,0,0,0,"b","a","b","a","b","a","b","a","a","a","a","a","b","43.62591_-73.60712_20210701",43.62591,-73.60712,"NULL"
0,0,5,5,0,0,0,"a","b","a","b","a","a","a","a","a","a","a","a","a","40.74827_-73.15653_20210922",40.74827,-73.15653,"NULL"
5,5,5,5,0,5,0,"a","a","b","b","a","b","a","b","b","a","c","a","c","41.48287_-74.086142_20210921",41.48287,-74.086142,"NULL"
0,0,0,5,5,0,0,"a","a","b","a","a","b","a","a","a","b","a","c","c","41.53948_-74.041596_20210913",41.53948,-74.041596,"NULL"
0,0,0,0,0,0,0,"a","a","b","b","a","a","b","b","a","b","a","b","a","41.939222_-74.06089_20210927",41.939222,-74.06089,"NULL"
0,0,5,0,0,0,0,"b","c","b","b","a","a","b","a","b","a","b","a","a","42.02088_-73.97984_20210927",42.02088,-73.97984,"NULL"
0,0,0,0,0,0,0,"b","b","a","b","b","a","a","b","b","b","b","b","b","41.88486_-74.144252_20210723",41.88486,-74.144252,"NULL"
0,0,0,0,0,0,0,"a","a","b","a","a","a","a","a","a","a","a","a","a","41.50602_-74.125607_20210924",41.50602,-74.125607,"NULL"
5,0,5,0,0,0,0,"a","b","b","b","a","b","c","a","a","a","a","a","a","41.88386_-74.117778_20210927",41.88386,-74.117778,"NULL"
0,NA,0,5,0,0,0,"b","a","a","b","b","b","","b","b","a","a","b","b","44.38166519404465_-74.23713240935848_20210926",44.38166519,-74.23713241,"NULL"
0,0,0,0,0,5,5,"a","a","b","a","a","a","a","a","a","a","b","a","b","41.72417_-73.967778_20210904",41.72417,-73.967778,"NULL"
0,0,5,0,0,0,0,"a","a","b","b","a","a","a","b","b","a","a","b","b","42.73964_-74.3335058_20210924",42.73964,-74.3335058,"NULL"
0,0,0,5,0,5,5,"b","b","b","b","b","b","b","b","b","b","b","b","b","42.82753884090288_-73.88129233547046_20210910",42.4922,-73.5255,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","a","a","a","a","a","a","a","a","42.61354817573475_-73.63811934831939_20210906",42.61354818,-73.63811935,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","a","a","b","b","a","b","a","b","42.5556_-76.677_20210906",42.5556,-76.677,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","a","a","a","a","a","b","a","b","42.555703386891054_-73.67699945370487_20210906",42.55570339,-73.67699945,"NULL"
0,0,0,0,0,0,0,"a","a","a","a","a","a","a","a","a","a","a","a","a","42.6134_-76.6386_20210916",42.6134,-76.6386,"NULL"
0,0,0,0,0,0,0,"b","b","b","b","b","a","b","a","a","a","b","a","b","42.87925_-73.49916_20200729",42.87925,-73.49916,"NULL"
0,0,0,0,0,0,0,"b","b","a","b","b","a","a","b","","b","b","a","a","42.6749_-73.69926_20200807",42.6749,-73.69926,"NULL"
0,0,0,0,0,0,0,"a","a","b","a","a","b","a","a","a","b","b","a","a","42.7386_-73.625038_20200828",42.7386,-73.625038,"NULL"
5,0,5,10,5,5,10,"a","a","a","b","a","c","a","a","a","b","b","c","a","41.02055_-73.845612_20210727",41.02055,-73.845612,"NULL"
5,0,0,NA,0,5,0,"a","a","b","b","b","","b","a","a","b","b","b","b","4120546_-73.845612_20210727",4120546,-73.845612,"NULL"
0,0,5,0,0,5,0,"a","a","a","a","a","a","a","a","a","a","a","a","a","42.5173_-73.7068_20210926",42.5173,-73.7068,"NULL"
0,0,0,0,0,0,0,"a","a","b","a","a","a","a","a","a","a","a","b","b","2.87639_-73.618638_20210919",2.87639,-73.618638,"NULL"
0,0,5,0,5,0,0,"b","b","a","b","b","b","a","b","a","b","a","b","a","42.86918_-73.543262_20210810",42.86918,-73.543262,"NULL"
5,0,0,0,0,5,0,"b","b","a","b","b","a","a","b","b","a","b","b","b","42.63552_-73.800574_20210924",42.63552,-73.800574,"NULL"
0,0,0,5,0,5,0,"b","c","b","c","a","a","c","b","b","b","b","b","b","43.07519_-73.928291_20210911",43.07519,-73.928291,"NULL"
0,0,0,5,0,0,0,"a","b","b","b","a","a","a","a","a","a","a","b","b","43.138_-73.877726_20210930",43.138,-73.877726,"NULL"
0,0,0,0,0,0,0,"a","a","b","a","b","a","a","a","a","a","a","b","a","43.09359_-73.30455_20210827",43.09359,-73.30455,"NULL"
0,0,0,5,0,0,0,"a","a","a","a","a","a","a","a","a","b","b","b","b","43.10381_-73.300381_20210911",43.10381,-73.300381,"NULL"
0,0,5,5,0,0,0,"b","a","a","a","b","a","b","c","c","b","b","b","b","42.2848_-75.8892_20210817",42.2848,-75.8892,"NULL"
