ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,CreationDate,Creator,EditDate,Editor,How many of these are in the sample?
2359,bf90156a-f7ab-447f-9992-3e2d8b3e26ad,Coleoptera,Psephenidae,(Coleoptera) Psephenidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,4
2360,74c102d1-0f4c-466d-b77d-cc5c8bfe51ec,Diptera,Limoniidae,(Diptera) Limoniidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,1
2361,5780320f-b3f1-4399-987d-17273f1c3836,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,1
2362,62116e02-149a-48c5-a9bf-f9ba3c3c5092,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,1
2363,2f17a3c4-9265-41e6-ba03-6005b788d21a,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,1
2364,bafa229e-1521-478e-a5a2-f2a4e5b14ca0,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,2
2365,f73c5779-7efb-4d3a-888f-4ce650e83a66,Ephemeroptera,Isonychiidae,(Ephemeroptera) Isonychiidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,1
2366,a0e95b88-6d55-4d62-b0e6-f077e303f46e,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,f104e65a-6df9-4cc9-b6df-773455bd9243,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:22,keleigh.reynolds@dec.ny.gov_nysdec,3
2367,ec2ba89b-d4c1-4ad4-8416-8955f5356e9c,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,b0359d62-3baa-4ca6-8ca1-042e1aa9b6d9,11/7/2023 20:44,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:44,keleigh.reynolds@dec.ny.gov_nysdec,2
2368,cb6d6fb6-ecd3-488c-947e-6453adfda5f4,Diptera,Limoniidae,(Diptera) Limoniidae,,,b0359d62-3baa-4ca6-8ca1-042e1aa9b6d9,11/7/2023 20:44,keleigh.reynolds@dec.ny.gov_nysdec,11/7/2023 20:44,keleigh.reynolds@dec.ny.gov_nysdec,3
